Ward Number,Ward Name,Direction,Description
82,Ward 82,West,Starting from Pddhanur Road Ukkadam Byepass Road Junction to North upto Oppanakkara Street Big Bazaar Street Junction then RG Street Krishnan Street Junction to North uptd Sukrawarpet Road Junction.
83,Ward 83,North,Starting from Railway Track towards East Chellappan Street via North Side S.Jeyam Bunk then towards South T.Kunki Raman General Merchant then towards East Park Street via North Side till Tyre Company then towards South West side of Dr.Nanjappa Road crossed then via North side of VOC Park Road towards East upto Balasundaram Road RTO Office
83,Ward 83,East,Starting from RTO Office South Western side of Balasundaram Road towards Avinashi Road to East upto Avinashi Road Nava India Junction
83,Ward 83,South,Starting from Balasundaram Road Avinashi Road Junction towards West North side of Avinashi ‘Road SF No.997 turn to South Ummayama Nagar Street No.2 via down side till SF No.74 then towards West Kadalakkara Street No.2 till railway line and to South upto Trichy Road Lanka corner railway line
83,Ward 83,West,Starting from Trichy Road Sungam Junction to Lanka corner North side of the road.
84,Ward 84,North,Starting from Valankulam Road Shivaram Nagar Road Junction to West upto Sungam Byepass Road GM Nagar Junction
84,Ward 84,East,Starting from Valankulam to South via Shivaram Nagar Road upto Railway track
84,Ward 84,South,Starting from SF No.1077 Junction to Coimbatore to Podhanur Railway Line
84,Ward 84,West,Starting from Sungam Byepass Road GM. Nagar Junction to South upto Saramedu Main road
85,Ward 85,North,"Starting from pollachi road and then east side of kurichi tank then towards to south side vengadachalapathinagar, alagunagar, mmpnagar, bharathinagar, uptosabarinagar and then towards northern side odpothanur road, chathiramst via ammannagar, nanjundapuarm (Village boundary) and then towards eastern 6ide arputhamnagarupto village boundary of vellalore."
85,Ward 85,East,Starting from southern side village boundary of vellalore upto Coimbatore Corporation sewage form
85,Ward 85,South,"Starting from Coimbatore Corporation sewage form towards western side upto Padmalaya layout compound wall and then north side vellalore road acrossing the western side upto chettipalayam-vellalore road junction and then western side of Railway Flyover via Railway kalyanamandapam, sarada mill road, policequarters, MGRNagar, bharathinagar, gandhijiroad, upto Kuniamuthur village boundary."
85,Ward 85,West,Starting from Eastern side of kuruchi tank wall towards Vengadactialapathi nagar layouts and upto Gandhiji road.
86,Ward 86,North,Starting from Ukkadam – Sungam bypass road towards eastern side upto Coimbatore Corporation sewage form.
86,Ward 86,East,"Starting from Coimbatore Corporation sewage form towards southern side, Anbunagar, Karumbukadai upto athupalam."
86,Ward 86,South,Starting from athupalam towards western side via Asath nagar upto Periyakulam.
86,Ward 86,West,"Starting from Periyakulam boundary towards northern side, boundary of ukkadam tank upto ukkadam bus stand."
87,Ward 87,North,"Starting from kuniyamuthur village boundary (kuruchi govt higher secoundary school towards estern side kuruchi tank bund, poonga nagar, GK square via pollachi road upto china kulam."
87,Ward 87,East,Starting from Palakkad Road Easter side Sadam Nagar to Machampalayam Road Junction Nalavaratha konar Street.
87,Ward 87,South,"Starting from jaya nagar kuruchi village boundary towards western side machampalayam road junction and western side of subbulakshmi nagar first steel via palakad road annamanayakar street junction and palakad road western side sundakkamuthur road, northern side NS bakery mariyamman kovil street via china sudukadu road, brindhavan circle towards south amman kovil road upto northern side of karupanna kovil thottam."
87,Ward 87,West,Starting from Amrnan Kovil Karuppannan Gounder Thottam North Side to Puttuviki Road Easter side Vaiyapuri pudur.
88,Ward 88,North,Starting from Amman Kovil Street towards South Karuppanna Gounder Thottam Norther Side to Palakkadu Road Junction.
88,Ward 88,East,Starting from Palakkad Road Souther Side to Sundakkamuthur Road Junction to Senkulam Road.
88,Ward 88,South,Starting from Palakkad Road Western Side via Senkulam Road to Venkitasamy Thottam.
88,Ward 88,West,Starting from Senkulam Western Side Venkitasamy Thottam to Amman Kovil Road.
89,Ward 89,North,Starting from Ramachettipalayam burial ground to amman kovil road norther side.
89,Ward 89,East,Starting from Amman Kovil Road towards South to Press Enclave Boundry.
89,Ward 89,South,Starting from Press Enclave to Village Road Boundry.
89,Ward 89,West,Starting from Village Road towards North to Ramachettipalayam Burial Ground.
90,Ward 90,North,Starting from Sundakkamuthur – perur Road Sundakamuthur Asramam School towards East to Thottarayan Kovil Junction.
90,Ward 90,East,"Starting from Thottarayan Kovil Junction to Arivoli Nagar, MGR Nagar Road Junction."
90,Ward 90,South,Starting from Arivoli Nagar – MGR Nagar Junction to Village Boundry Wester Side.
90,Ward 90,West,Starting from Village Boundry Wester Side to Sundakkamuthur- Perur Road junction.
91,Ward 91,North,Starting from Venkatesh Thottan towards Palakkad Main Road Wester Side to Senkulam Road Junction.
91,Ward 91,East,Starting from Palakad Main Road Western Side Senkulam Junction to Manjipallam Northern to Side.
91,Ward 91,South,Starting from Palakad Main Road Wester Side Manjipallam Northern Side to Arivoli Nagar – MGR Nagar junction.
91,Ward 91,West,Starting from Arivoli Nagar – MGR Nagar Road Junction to Vekatesh Thottam.
92,Ward 92,North,Starting from Palakkad Main Road Easter Side via Padasalai Street to B.K.Pudur Madurai Veeran Kovil Street Junction.
92,Ward 92,East,Starting from B.K.Pudur MaduraiVeeran Kovil Street Metukadu Road Junction To Senthamil Na’gar Village Boundry Junction Side.
92,Ward 92,South,Starting from Sentamil Nagar Hills Village Boundry Junction Side to Manjipallam North Side Palakkad Main Road Junction.
92,Ward 92,West,St rting from Palakkad Main Road Easter side Manjipallam Junction to towards North Side Krishna Nagar Road to Padasalai Road Junction.
93,Ward 93,North,"Starting from Palakkad Main Road Easter side Annama Naiker street South Side , Jaya Nagar northen side upto kuruchi kulam."
93,Ward 93,East,Starting from Jaya Nagar Road northen side upto kuruchi kulam to B.K.Pudur Maduraiveeran Kovil Street upto Medukadu Junction.
93,Ward 93,South,Starting from B.K.Pudur Maduraiveeran Kovil Street Medukadu Junction to Palakkadu Main Road Junction.
93,Ward 93,West,"Starting from Palakkad Main Road southern side of Burial Ground towards northern side kvmaran garden, blalaji nagar, edayar palayam salai, lakshmi nagar. Thirunavukarasu nagar, siruvani salai junction upto AnnamaNaiker Street."
94,Ward 94,North,"Starting from kurichi tank and village boundary of kuniamuthur( Kurichi govt. school), toward east side of kurichi tank bund nrae by poonganagar,via GK Square to pollachi road uptochinnakulam."
94,Ward 94,East,"Starting from Pollachi road chinnakulam (southern side of CMG Elementary school)via pollachi road western side towards south side of pollachi road upto SB Tower Door No 264, 265, 265 A and then towards southern side of madukarai market road and then western side saravannagar, ashoknagar, uzhavarsandhai, kasturinagar, annai Indira nagaruptovinayagar temple."
94,Ward 94,South,"Starting from Madukarai market road annai Indira nagarvinayagar temple towards western side of pathivalarcolony, arul garden compound wall, karuveppilaithottam upto Machampalayam sudukadu."
94,Ward 94,West,"Starting from Macharttpalayam sudukadu towards north sideof idarpalayamand then towards northern side of siruvani road acrossing via kurichi village boundary to MKN Nagar, Nilgris avenue upto Kurichi govt School."
95,Ward 95,North,"Starting from Satham nagar towards Aathupalam estern side towards Noyyal River upto kathiravan nagar, uthayam nagar."
95,Ward 95,East,Starting from Noyyal River uthayam nagar southern side towards kathiravan nagar upto kovai to podanur road school.
95,Ward 95,South,"Starting from Pothanur highways Road western side towards loyets avenue, ummar nagar, thiruvalluvar nagar, bharathi nagar upto thirumarai nagar and pollachi road."
95,Ward 95,West,Starting from Thirumarai nagar and Coimbatore Pollachi National Highways Road upto athupalam.
96,Ward 96,North,"Starting from pollachi gandhiji road junction towards eastern side loganathapuram via gandhijiroad,thayammal layout up to Gurusamipillaist."
96,Ward 96,East,Starting from Gurusamipillai st southern side upto Sarada mill road.
96,Ward 96,South,"Startingfromsarada mill road police quarters compound, Arumugampillaist, Gurusamipillaist, LIC Colony towards western side upto Pollachi road via 100 feet road TNHB Phase-1 road to Madukarai market road."
96,Ward 96,West,"Starting from madukarai road TNHB Phase -1 towards northern side arignarannacolony, palaniyappa lay out, annanagar, upto Pollachi road Gandhiji road junction."
97,Ward 97,North,Starting from mgr nagar ext to kurinjinagar sathyamurthinagar kamarajnagar viamadukarai market road up to TNHB Phase 1.
97,Ward 97,East,"Starting from madukarai market road TNHB Phase 1 towards south side TNHB Phase 2, kovai to palakad railway track via pollachi road western side of eachanari and upto eacher company."
97,Ward 97,South,"Starting from eacher company western side of village boundary of sirapalayam, vaikal and towards western side of madukarai market road upto MM eng company."
97,Ward 97,West,"Starting from MM eng company, madukarai ma ket road Coimbatore to Palakadu Railway track towards northern side via vaikal,pillayarpuram crossing the kallukuliroad; nagarajapuram, ganthinagar, bisminagar, village boundary of kuniamuthur and then towards north side CTO colony, gopalapuram, MGR nagar ext."
98,Ward 98,North,"Starting from sarada mill road-muthumariamman kovil junction towards east side arputham chettiyar st, ramanuja naidu st, sami nagar, Arumugam pillai st via sarada mill road upto Ismail st."
98,Ward 98,East,"Starting from Ismail Street junction towards southern side panchayat office st, ammaunavagam, policeline, Covai-palakadu railway tracks uptopollachiroad, muthunagar."
98,Ward 98,South,"Starting from pollachiroad, towards western side upto private industrial area scheme no 5."
98,Ward 98,West,"Starting from upto private industrial area scheme no 5, sidco towards north 100 feet road and then eastern side pollachi road and then towards uptosarada mill road-muthumariammankovil junction."
99,Ward 99,North,"Starting from sarada mill road masthansaibust junction towards east church road, railway flyover and then towards western side upto GD violar Company compound wall."
99,Ward 99,East,"Starting from GD violar Company compound wall, padmalaya, Corporation sewage fonTJ west compound wall"
99,Ward 99,South,"Starting from Corporation sewage west side towards western side chettipalayam road junction, Aspestasst kovai to palakad railway track upto masthansaibu street."
99,Ward 99,West,Starting from Masthan Saibu street to church street.
100,Ward 100,North,"Starting from Aspestash street towards east chettipalayam road, Eachanari- chettipalayam road junction"
100,Ward 100,East,Starting from Eachanari-chettipalayam road junction towards southern side the kuruchi village boundary upto pollachi road.
100,Ward 100,South,Starting from pollachi road and Eachanari-chettipalayam road junction.
100,Ward 100,West,Starting from pollachi road towards northern side kovai palakad railway track . kovai to pollachi railway track upto Aspestas company.
